ship_name,operator,url,callsign,IMO_number,MMSI_number,crew,capacity
Ocean Princess,Oceania Cruises,https://en.wikipedia.org/wiki/Ocean_Princess_(ship),ZCDS4,9187899,310505000,373,826
Regatta,Oceania Cruises,https://en.wikipedia.org/wiki/MS_Regatta,V7DM3,9156474,538001664,386,824
Riviera,Oceania Cruises,https://en.wikipedia.org/wiki/MS_Riviera,V7WO5,9438078,538004353,800,1447
Sirena,Oceania Cruises,https://www.vesselfinder.com/vessels/SIRENA-IMO-9187899-MMSI-538006842,V7RX6,9187899,538006842,375,803
Ortelius,Oceanwide Expeditions,https://en.wikipedia.org/wiki/MV_Ortelius,5BMC3,,209778000,52,116
Ivernia,Odessa Cruise Company,https://en.wikipedia.org/wiki/RMS_Ivernia,GTKX,5119765,,461,929
Arcadia,P & O Cruises,https://en.wikipedia.org/wiki/MV_Arcadia_(2004),ZCDN2,9226906,310459000,976,2388
Aurora,P & O Cruises,https://en.wikipedia.org/wiki/MV_Aurora_(2000),ZCDW9,9169524,310556000,850,2258
Azura,P & O Cruises,https://en.wikipedia.org/wiki/Azura_(ship),ZCEE2,9424883,,1226,3737
Britannia,P & O Cruises,https://en.wikipedia.org/wiki/MV_Britannia_(2015),2HHG5,9614036,235106595,1398,4406
Canberra,P & O Cruises,https://en.wikipedia.org/wiki/SS_Canberra,GBVC,5059953,,900,4200
Oceana,P & O Cruises,https://en.wikipedia.org/wiki/MV_Oceana,ZCDN9,9169550,310473000,889,2419
Oriana,P & O Cruises,https://en.wikipedia.org/wiki/SS_Oriana_(1959),GVSN,5264742,,980,1882
Pacific Aria,P & O Cruises,https://en.wikipedia.org/wiki/Pacific_Aria,2IYN3,8919269,235113823,602,1512
Pacific Dawn,P & O Cruises,https://en.wikipedia.org/wiki/Pacific_Dawn_(ship),2AGH7,8521232,235059368,660,1915
Pacific Explorer,P & O Cruises,https://en.wikipedia.org/wiki/Pacific_Explorer,MAQK9,9103996,310437000,924,2395
Pacific Jewel,P & O Cruises,https://en.wikipedia.org/wiki/Pacific_Jewel,C6EG9,8521220,311000892,621,2014
Ventura,P & O Cruises,https://en.wikipedia.org/wiki/MS_Ventura,ZCDT2,9333175,310562000,1226,3727
Palm Beach Princess,Palm Beach Casino Line,https://en.wikipedia.org/wiki/Palm_Beach_Princess,3FNQ2,6402937,,113,470
Delphin,Passat Kreuzfahrten,https://en.wikipedia.org/wiki/MV_Delphin,C6ZV6,7347536,311067500,230,640
Clio,Paul Gauguin Cruises,https://en.wikipedia.org/wiki/MS_Clio,9HA4306,9159830,249596000,60,90
Empress of Britain,Peace Boat,https://en.wikipedia.org/wiki/RMS_Empress_of_Britain_(1955),V4XW,5103924,,464,1145
Oceanic,Peace Boat,https://en.wikipedia.org/wiki/SS_Oceanic_(1965),T2DK4, 5260679,,565,1800
Pearl Mist,Pearl Sea Cruises,https://en.wikipedia.org/wiki/Pearl_Mist,V7RM9, 9412701,538003543,65,216
Albatros,Phoenix Reisen,https://en.wikipedia.org/wiki/MS_Albatros,C6CN4,7304314,308784000,340,830
Amadea,Phoenix Reisen,https://en.wikipedia.org/wiki/MS_Amadea,C6VE9, 8913162,308445000,292,624
Artania,Phoenix Reisen,https://en.wikipedia.org/wiki/MV_Artania,C6CY5,8201480,311000608,537,1260
Aurelia,Phoenix Reisen,https://www.vesselfinder.com/vessels/AURELIA-IMO-7602120-MMSI-209510000,5BEA5,7602120,209510000,92,250
Deutschland,Phoenix Reisen,https://www.vesselfinder.com/vessels/DEUTSCHLAND-IMO-9151541-MMSI-211188000,DMLQ,9151541,211188000,280,636
Maxim Gorkiy,Phoenix Reisen,https://en.wikipedia.org/wiki/SS_Maxim_Gorkiy,C6IQ5,6810627,,340,788
Prinsendam,Phoenix Reisen,https://en.wikipedia.org/wiki/MS_Prinsendam_(1988),PBGH,8700280,311000840,470,1006
Prinzessin Isabella,Phoenix Reisen,https://www.vesselfinder.com/vessels/PRINZESSIN-ISABELLA-IMO-0-MMSI-249099000,9HKQ9,,249099000,42,170
Prinzessin Katharina,Phoenix Reisen,https://www.vesselfinder.com/vessels/PRINZESSIN-KATHARINA-IMO-0-MMSI-215437000,9HOX7,,215437000,35,144
Prinzessin Sisi,Phoenix Reisen,https://www.vesselfinder.com/vessels/PRINZESSIN-SISI-IMO-0-MMSI-256417000,9HTT8,,256417000,38,156
Hamburg,Plantours,https://en.wikipedia.org/wiki/MS_Hamburg,C6OX6,9138329,309908000,170,420
L'Austral,Ponant Cruises,https://en.wikipedia.org/wiki/L%27Austral,FLTU,9502518,578000700,136,264
Le Boreal,Ponant Cruises,https://en.wikipedia.org/wiki/Le_Bor%C3%A9al,FLSY,9502506,578000500,139,264
Le Bougainville,Ponant Cruises,https://www.vesselfinder.com/vessels/LE-BOUGAINVILLE-IMO-9814040-MMSI-578001300,FLDT,9814040,578001300,110,184
Le Champlain,Ponant Cruises,https://www.vesselfinder.com/vessels/LE-CHAMPLAIN-IMO-9814038-MMSI-578001100,FLBP,9814038,578001100,110,184
